mae,su_acc,brier,ece,ats,ou_acc,clv,hc_ats,hc_n,elapsed,target,features,combo,n_est,depth,lr,folds,meta
9.570535088477625,0.7220786721789884,0.1865996969796544,0.060170651483140644,0.8183604302765362,,0.8284813009321885,0.831877225794881,39355,85.00898599624634,margin,baseline,XGB+CAT+RF,100,4,0.06,10,ridge
9.55358186099526,0.7221090710116731,0.1863615106901924,0.05991965640016027,0.8186551402328208,,0.8284125901043515,0.8330120048327806,39223,123.94492483139038,margin,baseline,XGB+CAT+RF,150,4,0.06,10,ridge
9.566340272490654,0.7220330739299611,0.1876412989436704,0.06576885058358185,0.8196375067537698,,0.8294147407249464,0.8340539427630225,39179,6.439157962799072,margin,baseline,LGBM,100,4,0.06,10,ridge
9.551748344283052,0.7216378891050583,0.18728120070276782,0.06415200898274281,0.8199076575470308,,0.8292588052015925,0.8346432344680084,39125,8.560354948043823,margin,baseline,LGBM,150,4,0.06,10,ridge
9.561056747365203,0.7220026750972762,0.1865003966380467,0.059811012766550695,0.8187042585588683,,0.8288820433453823,0.8321246444404582,39347,14.369087934494019,margin,baseline,XGB+CAT+LGBM,100,4,0.06,10,ridge
9.546757201683771,0.7223370622568094,0.18626681622778743,0.05976052077460048,0.8188024952109632,,0.8288679549112908,0.8326143891542135,39269,19.69636607170105,margin,baseline,XGB+CAT+LGBM,150,4,0.06,10,ridge
9.526474433461365,0.7235682149805448,0.18608051193864314,0.06178363047649866,0.8186060219067735,,0.8285732803449366,0.8335820511501055,39190,82.99249792098999,margin,enhanced,XGB+CAT+RF,100,4,0.06,10,ridge
9.510939559332991,0.7237202091439688,0.18579674453853082,0.061264371808450215,0.8188024952109632,,0.8287225602477278,0.8333247489054855,39151,119.36110091209412,margin,enhanced,XGB+CAT+RF,150,4,0.06,10,ridge
9.52724802598165,0.7227170476653697,0.18719709710380622,0.06658190213912682,0.8196620659167936,,0.8295522964210725,0.8337959393472115,39232,6.440529823303223,margin,enhanced,LGBM,100,4,0.06,10,ridge
9.513764992702905,0.7227018482490273,0.18688111163199034,0.06564849035488747,0.8199322167100546,,0.8293951767459776,0.8338693493194741,39187,8.650683879852295,margin,enhanced,LGBM,150,4,0.06,10,ridge
9.51974608969759,0.7229450389105059,0.18605730600328155,0.06100560755885034,0.8187779360479395,,0.8289528877634217,0.8324994226772381,39296,14.271504878997803,margin,enhanced,XGB+CAT+LGBM,100,4,0.06,10,ridge
9.506263828594268,0.7236898103112841,0.18580717985917675,0.0612787940613872,0.8191217643302716,,0.8290604051146457,0.8327766072254483,39238,19.839056730270386,margin,enhanced,XGB+CAT+LGBM,150,4,0.06,10,ridge
9.559461238617498,0.721181906614786,0.18648327796306324,0.05929106788524335,0.8184341077656073,,0.8283410563601974,0.8334493874919406,39095,80.99630808830261,margin,pruned,XGB+CAT+RF,100,4,0.06,10,ridge
9.535874975466628,0.721698686770428,0.18618973697209665,0.05920602579551528,0.8185077852546785,,0.8283719533109033,0.8338199199069888,39025,113.22627401351929,margin,pruned,XGB+CAT+RF,150,4,0.06,10,ridge
9.579477917555252,0.7210299124513618,0.18774623074131827,0.06563830101400704,0.8193182376344614,,0.8293394238900894,0.8340853422714967,39102,6.376564025878906,margin,pruned,LGBM,100,4,0.06,10,ridge
9.567565113428453,0.7218810797665369,0.18744028543172092,0.06572449630878446,0.8193182376344614,,0.8291421612444975,0.8342705323978539,39086,8.530583143234253,margin,pruned,LGBM,150,4,0.06,10,ridge
9.56305793428111,0.7216074902723736,0.18646353050758555,0.05929279978045691,0.8187042585588683,,0.8287251740666566,0.8319478653530378,39300,14.011698961257935,margin,pruned,XGB+CAT+LGBM,100,4,0.06,10,ridge
9.541517377470889,0.7215466926070039,0.18620168816558555,0.05840785289254847,0.8186551402328208,,0.8286080154790599,0.8326261924965929,39208,19.520416975021362,margin,pruned,XGB+CAT+LGBM,150,4,0.06,10,ridge
9.874252427743876,0.7066816634241245,0.19286523432629768,0.04371677692533242,0.8115821012819883,,0.799931550036543,0.8255888788775905,39166,85.85383415222168,residual,baseline,XGB+CAT+RF,100,4,0.06,10,ridge
9.841955582353405,0.7070768482490273,0.1925049099411059,0.043556519089132224,0.8113856279777986,,0.7996582950019794,0.8265242798779542,38993,123.71288013458252,residual,baseline,XGB+CAT+RF,150,4,0.06,10,ridge
9.871976535452033,0.7060128891050583,0.1939959412801122,0.048921937179671464,0.8119750478903679,,0.7996446341273303,0.8260409952301148,39109,6.439889907836914,residual,baseline,LGBM,100,4,0.06,10,ridge
9.854438296733436,0.7060432879377432,0.19359362389892343,0.04758183709308282,0.811876811238273,,0.7996876313056968,0.8261631653563604,39116,8.833088874816895,residual,baseline,LGBM,150,4,0.06,10,ridge
9.86541612277891,0.7069400535019456,0.19279935046897112,0.04376898402091629,0.8120487253794391,,0.8002202038620904,0.8248709453732953,39261,14.574280977249146,residual,baseline,XGB+CAT+LGBM,100,4,0.06,10,ridge
9.839827013263045,0.7071224464980544,0.19246235550122187,0.04340824769265836,0.8119504887273442,,0.8005196627844865,0.8247721730201515,39279,20.286573886871338,residual,baseline,XGB+CAT+LGBM,150,4,0.06,10,ridge
9.838985905070096,0.7077456225680934,0.19256721472599492,0.044134725179704445,0.8115329829559409,,0.7997874443067226,0.8258273714550415,39187,85.01566100120544,residual,enhanced,XGB+CAT+RF,100,4,0.06,10,ridge
9.8136953207094,0.7089615758754864,0.19221387725214062,0.045051830671303146,0.8119996070533916,,0.8001136512915719,0.826123899273907,39163,129.33523416519165,residual,enhanced,XGB+CAT+RF,150,4,0.06,10,ridge
9.820146336657395,0.707365637159533,0.19343527839984737,0.04928280799844258,0.8115084237929171,,0.8002731715529304,0.8246526887783873,39340,6.571033954620361,residual,enhanced,LGBM,100,4,0.06,10,ridge
9.802950814919482,0.7067424610894941,0.1930716408523063,0.04758044590276809,0.8116557787710594,,0.8002927087654875,0.8248165820122108,39309,8.820889949798584,residual,enhanced,LGBM,150,4,0.06,10,ridge
9.822027671463514,0.7070160505836576,0.19242635495886032,0.0432095372380205,0.8116066604450121,,0.8003060971154701,0.824410093668424,39404,14.665378093719482,residual,enhanced,XGB+CAT+LGBM,100,4,0.06,10,ridge
9.803248334642486,0.7075328307392996,0.19216582892590142,0.04370047116491855,0.8117294562601306,,0.8006019501560708,0.8246891424176388,39332,20.11583924293518,residual,enhanced,XGB+CAT+LGBM,150,4,0.06,10,ridge
9.877500792816745,0.7057848978599222,0.19292882317045515,0.04276580110380921,0.8117540154231544,,0.7997670028590897,0.8261800361103946,39092,79.2806191444397,residual,pruned,XGB+CAT+RF,100,4,0.06,10,ridge
9.855717470145883,0.7068032587548638,0.1925936071537131,0.043221381545328334,0.8115329829559409,,0.7998969992037811,0.8266776876582115,39032,119.52461886405945,residual,pruned,XGB+CAT+RF,150,4,0.06,10,ridge
9.879855349682133,0.7061344844357976,0.1940926286041073,0.04939051689964318,0.8121469620315339,,0.7997427857926552,0.8255891736132551,39184,6.450437784194946,residual,pruned,LGBM,100,4,0.06,10,ridge
9.85916688100655,0.7062408803501945,0.19361816838029766,0.04781489438128986,0.8119996070533916,,0.7998048079581662,0.8256137100509495,39177,8.731416940689087,residual,pruned,LGBM,150,4,0.06,10,ridge
9.871114828366064,0.7066664640077821,0.19285860765698873,0.043465883872811376,0.8120487253794391,,0.8002575412233893,0.8253307642903018,39245,14.291409969329834,residual,pruned,XGB+CAT+LGBM,100,4,0.06,10,ridge
9.850847037665995,0.7064384727626459,0.19253032508199994,0.04263478697553609,0.8122697578466526,,0.8004760603684508,0.8258298408453963,39211,20.13028597831726,residual,pruned,XGB+CAT+LGBM,150,4,0.06,10,ridge
